siteID,collectDate,NH4_mgL,NIT_mgL,SRP_mgL,TN_mgL,TP_mgL
PRLA,2014-06-01,0.0168,0.02,0.0075,3.02,0.186
PRLA,2016-10-01,0.035666666666666666,0.020666666666666667,0.049,5.591666666666667,0.01
PRLA,2016-11-01,0.33266666666666667,0.15133333333333332,0.035333333333333335,5.145333333333333,0.007333333333333333
PRLA,2016-12-01,0.651,0.182,0.043,5.268,0.003
PRLA,2017-01-01,1.408,0.074,0.094,5.58,0.003
PRLA,2017-02-01,1.765,0.014,0.126,5.966,0.01
PRLA,2017-03-01,0.031,0.685,0.026,2.744,0.003
PRLA,2017-04-01,0.254,0.020666666666666667,0.02,4.900666666666667,0.009333333333333332
PRLA,2017-05-01,0.033,0.014,0.014666666666666666,3.551,0.016333333333333335
PRLA,2017-06-01,0.08133333333333333,0.02,0.007333333333333333,3.679333333333333,0.142
PRLA,2017-07-01,0.0472,0.0072499999999999995,0.0468,4.1308,0.17674
PRLA,2017-08-01,0.025166666666666667,0.043833333333333335,0.03833333333333333,4.424666666666667,0.3772333333333333
PRLA,2017-09-01,0.018166666666666668,0.030633333333333332,0.023,4.714,0.298
PRLA,2017-10-01,0.10646666666666667,0.013933333333333334,0.02,3.816,0.07533333333333334
PRLA,2017-11-01,0.1251,0.12913333333333332,0.03666666666666667,3.956,0.011000000000000001
PRLA,2018-01-01,0.9108,0.0874,0.086,NA,NA
PRLA,2018-02-01,0.6294,0.0611,0.076,6.999,0.27
PRLA,2018-03-01,0.1423,0.0215,NA,8.122,0.019
PRLA,2018-04-01,0.4703,0.0388,0.04,7.271,0.4647
PRLA,2018-05-01,0.4075,0.012,0.016,5.174,0.3035
PRLA,2018-06-01,0.002,0.0193,0.019,4.6685,0.0717
PRLA,2018-07-01,0.3934,0.0037,0.011,5.191,0.446
PRLA,2018-08-01,NA,0.013,2.218,6.119,0.2361
PRLA,2018-09-01,0.008,0.0106,0.014,5.279,0.4417
PRLA,2018-10-01,0.17980000000000002,0.0625,0.029,6.3815,0.3383
PRLA,2018-12-01,1.248,NA,0.316,7.809,0.3547
PRLA,2019-01-01,2.5772,NA,0.08,8.61,0.605
PRLA,2019-02-01,3.7486,NA,0.166,9.891,0.5023
PRLA,2019-03-01,3.2607,NA,0.562,6.712,1.528
PRLA,2019-04-01,1.446,NA,0.387,4.953,0.405
PRLA,2019-05-01,0.028,0.0895,0.023,3.798,0.5812
PRLA,2019-06-01,0.0336,NA,0.039,3.803,0.3009
PRLA,2019-07-01,1.390525,0.039,0.09920000000000001,4.774333333333333,0.4246
PRLA,2019-08-01,2.60435,0.20975,0.2583,5.07,0.3631
PRLA,2019-09-01,0.4686,0.717125,0.139525,3.8733333333333335,0.375425
PRLA,2019-10-01,0.09235,0.2975,0.1353,2.664,0.33675
PRLA,2019-12-01,0.14673333333333333,0.2013,0.14846666666666666,2.703333333333333,0.187
PRLA,2020-01-01,0.2272,0.272,0.1744,2.981,0.358
PRLA,2020-02-01,0.3873,0.2395,0.1937,3.15,0.421
PRLA,2020-03-01,0.1917,0.1623,0.18936666666666666,2.584,0.189
PRLA,2020-06-01,0.0138,0.00295,0.20965,2.23075,0.34355
PRLA,2020-08-01,0.119,0.0013,0.0656,3.507,0.3221
PRLA,2020-09-01,0.0955,0.0279,0.0183,4.069,0.3002
PRLA,2021-01-01,0.007166666666666667,8e-4,0.013333333333333332,3.946,0.23313333333333333
PRLA,2021-02-01,0.0053,3e-4,0.0017,3.822,0.2134
PRLA,2021-03-01,0.0077,9e-4,0.0222,3.752,0.1869
PRLA,2021-04-01,0.0051,2e-4,0.0041,3.798,0.2183
PRLA,2021-05-01,0.0038,1e-4,7e-4,3.136,0.207
PRLA,2021-06-01,0.0124,0.0015,0.0481,3.0605,0.2061
PRLA,2021-08-01,0.011,0.0021,0.0445,4.936,0.4455
PRLA,2021-09-01,0.0051,0.0014,0.0012,5.723,0.1856
PRLA,2021-10-01,0.0068,0.002,0.0041,5.26,0.177
PRLA,2021-11-01,0.007,0.0085,0.0016,5.086,0.3204
PRLA,2021-12-01,0.2398,0.0822,1e-4,4.111,0.1521
PRLA,2022-01-01,0.3636,0.0698,0.0109,4.433,0.2281
PRLA,2022-02-01,0.9667,0.0042,0.071,5.818,0.2883
PRLA,2022-03-01,0.1961,0.0085,0.0038,6.403,0.3398
PRLA,2022-04-01,0.0078,0.0012,0.0011,3.247,0.2058
PRLA,2022-05-01,0.0046,7e-4,0.0023,NA,0.2017
PRLA,2022-06-01,0.0011,4e-4,6e-4,3.849,0.266
PRLA,2022-07-01,0.014233333333333332,0.007466666666666667,0.03796666666666666,NA,0.3625
PRLA,2022-08-01,0.003,0.0013,0.013,4.228,0.3701
PRLA,2022-09-01,0.0157,0.0018,5e-4,4.624,0.3807
PRLA,2022-10-01,0.005,6e-4,0.004,4.577,0.2399
PRLA,2022-11-01,0.046425,0.0017,0.0029333333333333334,4.27725,0.18645
PRLA,2023-01-01,1.0816,1e-4,0.0177,5.384,0.2408
PRLA,2023-02-01,2.1344,0.0023,0.1513,6.841,0.336
PRLA,2023-03-01,5.9486,NA,0.2858,7.821,0.4191
PRLA,2023-05-01,0.0148,0.0026,0.0127,2.659,0.156
PRLA,2023-06-01,0.0168,0.00255,0.0017000000000000001,3.399,0.1439
PRLA,2023-08-01,0.0121,0.0127,0.0026,3.542,0.2366
PRLA,2023-09-01,0.021266666666666666,0.11316666666666667,0.009966666666666665,3.1883333333333335,0.22753333333333334
PRLA,2023-10-01,0.0068,6e-4,0.0042,3.741,0.2164
TOOK,2016-11-01,0.107,0.038,0.332,0.1938,0.015
TOOK,2016-12-01,0.055,0.017,0.367,0.2214,0.002
TOOK,2017-02-01,NA,0.027,0.031,0.3082,0.004
TOOK,2017-03-01,0.116,0.044,0.021,0.2812,0.003
TOOK,2017-04-01,0.046,0.057,0.020499999999999997,0.2529,0.017
TOOK,2017-06-01,0.0574,0.0306,0.034999999999999996,0.21972,0.01452
TOOK,2017-07-01,0.07975,0.057666666666666665,0.04375,0.24166666666666664,0.00765
