siteID,collectYear,collectMonth,mean_SWN
CRAM,2017,10,2.4945454545454546
CRAM,2017,11,2.503936170212766
CRAM,2018,7,4.205882352941177
CRAM,2018,8,3.8535490605428
CRAM,2018,9,2.7127358490566054
CRAM,2018,10,2.1538018018018024
CRAM,2018,11,2
CRAM,2019,4,7.7625
CRAM,2019,5,6.9282051282051285
CRAM,2019,7,3.0862275449101793
CRAM,2019,8,3.411207494795281
CRAM,2019,9,3.353645116918844
CRAM,2019,10,2.9406703524533517
CRAM,2019,11,2.8823529411764706
CRAM,2020,6,3.1604060913705587
CRAM,2020,7,-0.7508771929824563
CRAM,2020,8,5.239739413680781
CRAM,2020,9,3.007679180887372
CRAM,2020,10,2.822668056279312
CRAM,2021,4,2.875121275121274
CRAM,2021,5,2.5048519218651535
CRAM,2021,6,2.4491749174917494
CRAM,2021,7,3.3874901029295326
CRAM,2021,8,3.8045953360768174
CRAM,2021,9,3.5263450834879406
CRAM,2021,10,3.2692395005675365
CRAM,2021,11,3.304892966360856
CRAM,2022,5,6.068871595330734
CRAM,2022,6,2.5781677133357968
CRAM,2022,7,2.7511993382961126
CRAM,2022,8,3.2814051164566624
CRAM,2022,9,3.1318857589984344
CRAM,2022,10,2.6088602941176466
CRAM,2022,11,2.6263157894736824
CRAM,2023,5,5.268079096045187
CRAM,2023,6,3.0692420897718926
CRAM,2023,7,4
PRLA,2019,6,50.620650887573944
PRLA,2019,7,41.210380881254665
PRLA,2019,8,53.408991537376544
PRLA,2019,9,69.85374999999996
PRLA,2019,10,50.563601895734585
PRLA,2020,6,30.311988180666944
PRLA,2020,7,33.01483790523691
PRLA,2020,10,40.03892857142857
PRLA,2021,4,34.46555772994129
PRLA,2021,5,34.793083275980734
PRLA,2021,6,42.23025987896048
PRLA,2021,7,41.7356599861783
PRLA,2021,8,43.82024704618689
PRLA,2021,9,44.48946750195771
PRLA,2021,10,60.7400106837607
PRLA,2022,4,36.89742268041237
PRLA,2022,5,32.988617886178865
PRLA,2022,6,32.047533632287
PRLA,2022,7,33.58147138964578
PRLA,2022,8,35.288245614035084
PRLA,2022,9,38.056985294117645
PRLA,2022,10,43.06911090742439
PRLA,2022,11,45.87594936708861
PRLA,2023,5,34.497797356828194
PRLA,2023,6,34.57590062111801
PRLA,2023,7,35.5
TOOK,2019,6,5.4071428571428575
TOOK,2019,7,6.2623853211009175
TOOK,2019,8,7.256228571428572
TOOK,2022,6,2.2386363636363638
TOOK,2022,7,2.864057142857145
TOOK,2022,8,2.999490770210058
TOOK,2022,9,2.670630749014455
